Date & Time,Latitude,Longitude,Depth,Magnitude,Lands,Country
11/21/2023 17:43,31.592,-104.549,3,2.7,WESTERN,TEXAS
11/21/2023 17:31,-24.2,-67.58,198,4,"SALTA,",ARGENTINA
11/21/2023 17:27,31.647,-104.017,5,2.9,WESTERN,TEXAS
11/21/2023 17:01,46.345,13.601,0,0.8,SLOVENIA,SLOVENIA
11/21/2023 16:56,-4.32,130.81,10,3.3,BANDA,SEA
11/21/2023 16:38,19.386,-155.281,1,2.8,"ISLAND, OF, HAWAII,",HAWAII
11/21/2023 16:36,38.243,38.808,7,1,EASTERN,TURKEY
11/21/2023 16:33,41.73,48.87,5,3.5,"CASPIAN, SEA,, OFFSHORE",AZERBAIJAN
11/21/2023 16:26,38.104,38.226,7,1.4,EASTERN,TURKEY
11/21/2023 16:13,-10.92,-74.74,22,4.2,CENTRAL,PERU
11/21/2023 16:13,38.171,38.107,7,1.6,EASTERN,TURKEY
11/21/2023 16:05,0.53,125.95,14,3.2,MOLUCCA,SEA
11/21/2023 15:59,39.134,29.026,10,1,WESTERN,TURKEY
11/21/2023 15:35,35.795,35.497,9,2.5,"NEAR, THE, COAST, OF",SYRIA
11/21/2023 15:34,17.985,-66.84,10,2.7,PUERTO,RICO
11/21/2023 15:32,-15.698,179.808,10,5.1,FIJI,FIJI
11/21/2023 15:28,63.89,-22.39,1,3.5,ICELAND,REGION
11/21/2023 15:22,3.2,97.29,22,2.5,"NORTHERN, SUMATRA,",INDONESIA
11/21/2023 15:19,39.142,-28.653,15,2,"AZORES, ISLANDS,",PORTUGAL
11/21/2023 15:14,18.24,120.03,13,3,"LUZON,",PHILIPPINES
11/21/2023 15:13,37.246,28.206,7,1.3,WESTERN,TURKEY
11/21/2023 15:11,-23.88,-67.44,265,3.2,"ANTOFAGASTA,",CHILE
11/21/2023 15:02,-30.77,-71.39,52,2.5,"COQUIMBO,",CHILE
11/21/2023 15:01,-38.47,-73.17,28,3.1,"ARAUCANIA,",CHILE
11/21/2023 15:00,38.985,29.678,7,0.8,WESTERN,TURKEY
11/21/2023 14:56,36.61,23,10,2,SOUTHERN,GREECE
11/21/2023 14:49,-7.39,129.28,143,3.8,"KEPULAUAN, BABAR,",INDONESIA
11/21/2023 14:49,10.2,122.02,12,3.4,"PANAY,",PHILIPPINES
11/21/2023 14:45,-22.1,-68.78,113,2.5,"ANTOFAGASTA,",CHILE
11/21/2023 14:39,5.52,125.06,56,3.5,"MINDANAO,",PHILIPPINES
11/21/2023 14:34,-30.492,-177.772,30,4.7,"KERMADEC, ISLANDS,, NEW",ZEALAND
11/21/2023 14:21,38.078,36.538,3,2.3,CENTRAL,TURKEY
11/21/2023 14:01,41.877,19.643,15,3.3,ALBANIA,ALBANIA
11/21/2023 13:50,38.095,37.21,7,1.7,CENTRAL,TURKEY
11/21/2023 13:36,47.369,6.918,6,1.1,SWITZERLAND,SWITZERLAND
11/21/2023 13:31,38.083,37.152,7,1.8,CENTRAL,TURKEY
11/21/2023 13:22,47.476,6.743,5,2,FRANCE,FRANCE
11/21/2023 13:22,32.22,-101.999,9,2.1,WESTERN,TEXAS
11/21/2023 13:14,-40.358,175.584,24,3.8,"NORTH, ISLAND, OF, NEW",ZEALAND
11/21/2023 13:07,19.125,-155.406,32,2.2,"ISLAND, OF, HAWAII,",HAWAII
11/21/2023 13:02,37.534,36.882,5,1.2,CENTRAL,TURKEY
11/21/2023 13:00,39.636,30.104,7,1,WESTERN,TURKEY
11/21/2023 12:57,38.193,38.724,7,1.2,EASTERN,TURKEY
11/21/2023 12:53,55.614,-155.559,10,2.4,"SOUTH, OF",ALASKA
11/21/2023 12:47,38.19,38.702,7,1.3,EASTERN,TURKEY
11/21/2023 12:47,-30.192,-71.242,67,4.7,"COQUIMBO,",CHILE
